Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.106091,0.960227,1.005253,43262579.70903423,1737343087.4467177
DOTUSD,7.09330,6.05370,6.28440,1407739.08095939,1737343087.4467213
XETHZUSD,3445.01000,3125.40000,3260.56000,58240.87109057,1737343087.4467227
LINKUSD,26.646850,22.123330,24.448650,1152224.16749502,1737343087.446725
XLTCZUSD,125.45000,111.30000,116.89000,78151.18685520,1737343087.4467266
MATICUSD,0.492000,0.431400,0.446800,2716247.47390432,1737343087.4467287
SOLUSD,296.00000,229.50000,237.85000,1952957.15366036,1737343087.4467309
XXBTZUSD,106246.60000,99500.00000,101748.00000,4685.05265094,1737343087.4467351
XDGUSD,0.404875100,0.344541400,0.363718900,246958224.44185318,1737343087.4467368
XXRPZUSD,3.25498000,2.81060000,3.11429000,78585395.63853573,1737343087.4467385
ADAUSD,1.106091,0.960227,1.006245,43249316.30831860,1737343147.7685096
DOTUSD,7.09330,6.05370,6.29190,1407944.96316373,1737343147.7685132
XETHZUSD,3445.01000,3125.40000,3263.15000,58227.26214872,1737343147.7685146
LINKUSD,26.646850,22.123330,24.412360,1152257.34534026,1737343147.7685156
XLTCZUSD,125.45000,111.30000,117.07000,78150.99406931,1737343147.768517
MATICUSD,0.492000,0.431400,0.447800,2716565.46571451,1737343147.7685184
SOLUSD,296.00000,229.50000,238.21000,1952987.17675585,1737343147.7685199
XXBTZUSD,106246.60000,99500.00000,101849.00000,4686.02776314,1737343147.7685213
XDGUSD,0.404875100,0.344541400,0.364390000,247082835.88774538,1737343147.7685223
XXRPZUSD,3.25498000,2.81060000,3.12197000,78654205.37707261,1737343147.7685235
ADAUSD,1.106091,0.960227,1.005356,43248912.64540268,1737343208.0519135
DOTUSD,7.09330,6.05370,6.29500,1407892.16906212,1737343208.0519164
XETHZUSD,3445.01000,3125.40000,3264.91000,58233.63657904,1737343208.0519178
LINKUSD,26.646850,22.123330,24.378770,1152197.56521525,1737343208.0519197
