Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.149900,1.081196,1.117848,13466325.05874255,1737137751.9264574
DOTUSD,7.49880,7.10750,7.38720,596145.43672986,1737137751.926461
XETHZUSD,3450.00000,3269.65000,3417.39000,18197.81053848,1737137751.926463
LINKUSD,24.700000,22.758090,24.380900,344417.34547450,1737137751.926465
XLTCZUSD,141.00000,122.55000,136.03000,88024.87307069,1737137751.9264667
MATICUSD,0.516800,0.470400,0.502400,1211903.92304522,1737137751.9264688
SOLUSD,221.95000,208.05000,216.52000,351548.80492139,1737137751.9264705
XXBTZUSD,105300.10000,99255.10000,104391.80000,2881.70903977,1737137751.9264746
XDGUSD,0.422259500,0.374377400,0.411800100,128879004.41177734,1737137751.9264762
XXRPZUSD,3.38822000,3.16339000,3.19950000,69954445.81063159,1737137751.926478
ADAUSD,1.149900,1.081196,1.116101,13458708.55968445,1737137812.1370306
DOTUSD,7.49880,7.10750,7.38000,597129.88197999,1737137812.1370337
XETHZUSD,3450.00000,3269.65000,3417.40000,18195.32648061,1737137812.1370354
LINKUSD,24.700000,22.758090,24.381190,344440.48927450,1737137812.1370368
XLTCZUSD,141.00000,122.55000,135.86000,87917.54467795,1737137812.1370378
MATICUSD,0.516800,0.470400,0.501800,1211910.68265522,1737137812.1370401
SOLUSD,221.95000,208.05000,216.43000,351408.83449723,1737137812.1370418
XXBTZUSD,105300.10000,99255.10000,104391.80000,2880.77723175,1737137812.1370435
XDGUSD,0.422259500,0.374377400,0.411800100,128896387.55031595,1737137812.137045
XXRPZUSD,3.38822000,3.16339000,3.19202000,69748434.04158020,1737137812.1370463
ADAUSD,1.149900,1.081196,1.115460,13457702.71685198,1737137872.3456335
DOTUSD,7.49880,7.10750,7.38330,597053.44737770,1737137872.345639
XETHZUSD,3450.00000,3269.65000,3418.73000,18196.65907427,1737137872.3456402
LINKUSD,24.700000,22.758090,24.401100,344418.76773018,1737137872.345642
XLTCZUSD,141.00000,122.55000,135.65000,87727.44123560,1737137872.3456438
MATICUSD,0.516800,0.470400,0.502600,1211912.61358522,1737137872.3456457
SOLUSD,221.95000,208.05000,216.62000,351408.08260297,1737137872.345647
XXBTZUSD,105300.10000,99255.10000,104500.10000,2886.02949315,1737137872.3456495
XDGUSD,0.422259500,0.374377400,0.411881500,128907256.65966745,1737137872.3456511
XXRPZUSD,3.38822000,3.16339000,3.18148000,69645798.28393376,1737137872.3456533
ADAUSD,1.149900,1.081196,1.117663,13436210.28890140,1737137932.534696
DOTUSD,7.49880,7.10750,7.39520,597064.73956114,1737137932.5346985
XETHZUSD,3450.00000,3269.65000,3420.90000,18222.07276914,1737137932.5346994
LINKUSD,24.700000,22.758090,24.431400,344414.19334914,1737137932.5347009
XLTCZUSD,141.00000,122.55000,135.77000,87809.32064672,1737137932.5347018
MATICUSD,0.516800,0.470400,0.502600,1211912.61358522,1737137932.5347028
SOLUSD,221.95000,208.05000,217.00000,351395.71421401,1737137932.5347044
XXBTZUSD,105300.10000,99255.10000,104590.10000,2876.10880726,1737137932.5347056
XDGUSD,0.422259500,0.374377400,0.412610400,128888080.56924726,1737137932.5347068
XXRPZUSD,3.38822000,3.16339000,3.18947000,69565374.11443806,1737137932.5347085
ADAUSD,1.149900,1.081196,1.120886,13433678.00885384,1737137992.801325
DOTUSD,7.49880,7.10750,7.40640,598605.86629197,1737137992.8013284
XETHZUSD,3450.00000,3269.65000,3422.11000,18217.60150395,1737137992.8013291
LINKUSD,24.700000,22.758090,24.465920,344418.18110914,1737137992.8013299
XLTCZUSD,141.00000,122.55000,135.77000,87808.75762545,1737137992.8013308
MATICUSD,0.516800,0.470400,0.502600,1211912.61358522,1737137992.801332
SOLUSD,221.95000,208.05000,216.97000,351489.72927233,1737137992.8013325
XXBTZUSD,105300.10000,99255.10000,104629.10000,2878.12044889,1737137992.8013334
XDGUSD,0.422259500,0.374377400,0.412969000,128896829.02168647,1737137992.8013346
XXRPZUSD,3.38822000,3.16339000,3.19382000,69414297.17398031,1737137992.8013356
ADAUSD,1.149900,1.081196,1.121917,13432062.45670897,1737138053.0147655
DOTUSD,7.49880,7.10750,7.41590,599817.98952773,1737138053.014769
XETHZUSD,3450.00000,3269.65000,3423.89000,18220.64599461,1737138053.0147705
LINKUSD,24.700000,22.758090,24.490640,344378.30075642,1737138053.0147781
XLTCZUSD,141.00000,122.55000,135.92000,87763.23726177,1737138053.0147793
MATICUSD,0.516800,0.470400,0.502600,1211912.61358522,1737138053.0147808
SOLUSD,221.95000,208.05000,216.97000,351538.55492086,1737138053.0147822
XXBTZUSD,105300.10000,99255.10000,104655.00000,2880.95680349,1737138053.0147839
XDGUSD,0.422259500,0.374377400,0.413274600,128874596.88932014,1737138053.0147848
XXRPZUSD,3.38822000,3.16339000,3.19745000,69367422.16401315,1737138053.014786
ADAUSD,1.149900,1.081196,1.123456,13431888.83709830,1737138113.302824
DOTUSD,7.49880,7.10750,7.41700,599503.89404704,1737138113.3028286
XETHZUSD,3450.00000,3269.65000,3424.99000,18242.40601104,1737138113.30283
LINKUSD,24.700000,22.758090,24.502100,344223.95823069,1737138113.302832
XLTCZUSD,141.00000,122.55000,135.91000,87761.41782956,1737138113.302834
MATICUSD,0.516800,0.470400,0.502600,1211912.61358522,1737138113.3028364
SOLUSD,221.95000,208.05000,217.15000,351327.31262157,1737138113.3028386
XXBTZUSD,105300.10000,99255.10000,104670.00000,2881.32625175,1737138113.3028412
XDGUSD,0.422259500,0.374377400,0.413319500,128969439.87989238,1737138113.3028433
XXRPZUSD,3.38822000,3.16339000,3.19950000,69356857.74232865,1737138113.3028457
ADAUSD,1.149900,1.081196,1.125941,13441634.25557827,1737138173.5555456
DOTUSD,7.49880,7.10750,7.42960,599677.24046655,1737138173.5555668
XETHZUSD,3450.00000,3269.65000,3429.89000,18249.42429488,1737138173.555568
LINKUSD,24.700000,22.758090,24.563740,344269.88750088,1737138173.5555687
XLTCZUSD,141.00000,122.55000,136.00000,87834.11152768,1737138173.5555696
MATICUSD,0.516800,0.470400,0.502600,1211912.61358522,1737138173.5555704
SOLUSD,221.95000,208.05000,217.34000,351609.23116643,1737138173.5555713
XXBTZUSD,105300.10000,99255.10000,104680.10000,2881.37792894,1737138173.555572
XDGUSD,0.422259500,0.374377400,0.414108300,129120914.80581061,1737138173.5555727
XXRPZUSD,3.38822000,3.16339000,3.20700000,69359170.41722966,1737138173.5555735
ADAUSD,1.149900,1.081196,1.122498,13435224.60978717,1737138233.763231
DOTUSD,7.49880,7.10750,7.42770,599397.97640802,1737138233.7632372
XETHZUSD,3450.00000,3269.65000,3429.06000,18248.30378545,1737138233.7632387
LINKUSD,24.700000,22.758090,24.523720,344138.98420634,1737138233.76324
XLTCZUSD,141.00000,122.55000,135.87000,87820.90700523,1737138233.7632425
MATICUSD,0.516800,0.470400,0.502600,1211898.97557522,1737138233.7632446
SOLUSD,221.95000,208.05000,217.37000,351685.13983586,1737138233.7632463
XXBTZUSD,105300.10000,99255.10000,104730.80000,2881.31535036,1737138233.7632477
XDGUSD,0.422259500,0.374377400,0.413642100,129173914.90512682,1737138233.7632487
XXRPZUSD,3.38822000,3.16339000,3.20001000,69301259.65363175,1737138233.7632504
ADAUSD,1.149900,1.081196,1.122250,13436899.23474904,1737138294.0805118
DOTUSD,7.49880,7.10750,7.42170,598968.80580686,1737138294.0805142
XETHZUSD,3450.00000,3269.65000,3426.89000,18247.58226636,1737138294.0805154
LINKUSD,24.700000,22.758090,24.498280,344021.13415208,1737138294.080516
XLTCZUSD,141.00000,122.55000,135.78000,87807.36366462,1737138294.080517
MATICUSD,0.516800,0.470400,0.503400,1212006.97557522,1737138294.0805182
SOLUSD,221.95000,208.05000,217.17000,351995.19837652,1737138294.0805192
XXBTZUSD,105300.10000,99255.10000,104670.00000,2882.65723377,1737138294.0805204
XDGUSD,0.422259500,0.374377400,0.413381500,129120355.27421120,1737138294.0805216
XXRPZUSD,3.38822000,3.16339000,3.20299000,69252464.51304978,1737138294.0805223
ADAUSD,1.149900,1.081196,1.123350,13425679.02452801,1737138354.49739
DOTUSD,7.49880,7.10750,7.42970,600136.34130950,1737138354.4973927
XETHZUSD,3450.00000,3269.65000,3426.39000,18248.79202667,1737138354.4973936
LINKUSD,24.700000,22.758090,24.471970,344300.57296605,1737138354.4973948
XLTCZUSD,141.00000,122.55000,136.16000,87744.80702800,1737138354.4973953
MATICUSD,0.516800,0.470400,0.504100,1212221.51669522,1737138354.4973962
SOLUSD,221.95000,208.05000,216.95000,352065.30178065,1737138354.497397
XXBTZUSD,105300.10000,99255.10000,104670.00000,2882.84242916,1737138354.4973977
XDGUSD,0.422259500,0.374377400,0.413060200,129219899.27363618,1737138354.497399
XXRPZUSD,3.38822000,3.16339000,3.20700000,69207065.30821813,1737138354.4974003
ADAUSD,1.149900,1.081196,1.124114,13413836.14096236,1737138414.6833932
DOTUSD,7.49880,7.10750,7.43890,600161.31278004,1737138414.6833959
