Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,0.788623,0.762115,0.772160,3900115.80524418,1739750356.731942
DOTUSD,5.04110,4.83180,4.88330,175492.63029641,1739750356.731945
XETHZUSD,2725.85000,2652.76000,2663.01000,7273.10040520,1739750356.7319472
LINKUSD,19.271390,18.563190,18.708840,115309.22222658,1739750356.731949
XLTCZUSD,137.41000,125.17000,125.58000,66553.43620172,1739750356.7319508
MATICUSD,0.331400,0.314800,0.325600,630039.57554448,1739750356.731953
SOLUSD,196.23000,186.00000,188.40000,119257.53242688,1739750356.731954
XXBTZUSD,97700.00000,96112.60000,96196.40000,311.29414919,1739750356.7319572
XDGUSD,0.274186600,0.263710800,0.265846400,33762089.57886505,1739750356.7319589
XXRPZUSD,2.80331000,2.69500000,2.72966000,16549548.42040249,1739750356.73196
ADAUSD,0.788623,0.762115,0.771569,3898049.33317418,1739750416.9161432
DOTUSD,5.04110,4.83180,4.88210,176347.45084860,1739750416.9161456
XETHZUSD,2725.85000,2652.76000,2660.51000,7275.07194227,1739750416.9161463
LINKUSD,19.271390,18.563190,18.702360,115310.02021499,1739750416.916147
XLTCZUSD,137.41000,125.17000,125.85000,66547.85031212,1739750416.9161477
MATICUSD,0.331400,0.314800,0.326100,629914.92743448,1739750416.9161484
SOLUSD,196.23000,186.00000,188.28000,119261.35488055,1739750416.9161491
XXBTZUSD,97700.00000,96112.60000,96140.10000,321.97507089,1739750416.91615
XDGUSD,0.274186600,0.263710800,0.265533400,33761706.55564491,1739750416.9161506
XXRPZUSD,2.80331000,2.69500000,2.72874000,16550197.89419618,1739750416.916151
ADAUSD,0.788623,0.762115,0.772899,3898299.95538242,1739750477.052373
DOTUSD,5.04110,4.83180,4.88380,176357.03850810,1739750477.0523753
XETHZUSD,2725.85000,2652.76000,2660.88000,7276.64516215,1739750477.0523763
LINKUSD,19.271390,18.563190,18.702360,115306.97263443,1739750477.0523775
XLTCZUSD,137.41000,125.17000,125.71000,66328.27503164,1739750477.0523782
MATICUSD,0.331400,0.314800,0.325700,644536.28543448,1739750477.0523796
SOLUSD,196.23000,186.00000,188.40000,119278.52953479,1739750477.0523806
XXBTZUSD,97700.00000,96112.60000,96125.10000,327.12596807,1739750477.0523818
XDGUSD,0.274186600,0.263710800,0.265533400,33755693.44252250,1739750477.0523822
XXRPZUSD,2.80331000,2.69500000,2.73128000,16545356.07747963,1739750477.0523834
ADAUSD,0.788623,0.762115,0.772150,3900016.69103667,1739750537.2324667
DOTUSD,5.04110,4.83180,4.88530,176298.32897141,1739750537.2324703
XETHZUSD,2725.85000,2652.76000,2661.78000,7276.88530590,1739750537.2324717
LINKUSD,19.271390,18.563190,18.702360,115306.97263443,1739750537.2324734
XLTCZUSD,137.41000,125.17000,125.57000,66340.10590491,1739750537.2324753
MATICUSD,0.331400,0.314800,0.325700,644536.28543448,1739750537.232477
SOLUSD,196.23000,186.00000,188.21000,119140.16069588,1739750537.2324789
XXBTZUSD,97700.00000,96112.60000,96125.10000,326.94306455,1739750537.2324817
XDGUSD,0.274186600,0.263710800,0.265421700,33732083.25264937,1739750537.2324836
XXRPZUSD,2.80331000,2.69500000,2.73146000,16539480.16388260,1739750537.232485
ADAUSD,0.788623,0.762115,0.773856,3912525.00813354,1739750597.3993866
DOTUSD,5.04110,4.83180,4.88810,176310.07875206,1739750597.399389
XETHZUSD,2725.85000,2652.76000,2664.21000,7277.52379093,1739750597.3993897
LINKUSD,19.271390,18.563190,18.749210,115311.90635736,1739750597.3993905
XLTCZUSD,137.41000,125.17000,125.57000,66332.04174657,1739750597.3993912
MATICUSD,0.331400,0.314800,0.326800,685447.01543448,1739750597.399392
SOLUSD,196.23000,186.00000,188.55000,119162.32352971,1739750597.3993928
XXBTZUSD,97700.00000,96112.60000,96175.40000,328.96424374,1739750597.3993938
XDGUSD,0.274186600,0.263710800,0.265952800,33732371.92328257,1739750597.3993952
XXRPZUSD,2.80331000,2.69500000,2.73469000,16544285.03813451,1739750597.3993964
ADAUSD,0.788623,0.762115,0.775075,3921968.24390243,1739750657.5367014
DOTUSD,5.04110,4.83180,4.89810,176167.48311339,1739750657.5367038
XETHZUSD,2725.85000,2652.76000,2665.28000,7283.02885660,1739750657.5367045
LINKUSD,19.271390,18.563190,18.749210,115262.55470617,1739750657.5367055
XLTCZUSD,137.41000,125.17000,125.67000,66321.93439095,1739750657.5367064
MATICUSD,0.331400,0.314800,0.326800,685447.01543448,1739750657.5367076
SOLUSD,196.23000,186.00000,188.70000,119215.10096327,1739750657.5367086
XXBTZUSD,97700.00000,96112.60000,96210.40000,328.97941813,1739750657.5367093
XDGUSD,0.274186600,0.263710800,0.266475400,33723974.31262978,1739750657.5367105
XXRPZUSD,2.80331000,2.69500000,2.74004000,16507855.53052967,1739750657.536712
ADAUSD,0.788623,0.762115,0.774404,3922023.99933830,1739750717.8057005
DOTUSD,5.04110,4.83180,4.89970,176794.42479244,1739750717.8057034
XETHZUSD,2725.85000,2652.76000,2664.21000,7280.89196575,1739750717.805704
LINKUSD,19.271390,18.563190,18.777140,115150.64014617,1739750717.8057055
XLTCZUSD,137.41000,125.17000,125.46000,66320.06629498,1739750717.8057065
MATICUSD,0.331400,0.314800,0.326800,685447.01543448,1739750717.8057075
SOLUSD,196.23000,186.00000,188.54000,119129.96387254,1739750717.8057086
XXBTZUSD,97700.00000,96112.60000,96159.50000,328.90713887,1739750717.8057096
XDGUSD,0.274186600,0.263710800,0.266165300,33641043.45113899,1739750717.8057103
XXRPZUSD,2.80331000,2.69500000,2.73584000,16507981.83036359,1739750717.8057113
ADAUSD,0.788623,0.762115,0.774311,3926362.43735530,1739750778.0469806
DOTUSD,5.04110,4.83180,4.89970,176794.42479244,1739750778.0469832
XETHZUSD,2725.85000,2652.76000,2664.27000,7283.30261449,1739750778.046984
LINKUSD,19.271390,18.563190,18.777140,115150.64014617,1739750778.0469847
XLTCZUSD,137.41000,125.17000,125.49000,66340.54999663,1739750778.0469856
MATICUSD,0.331400,0.314800,0.326800,685748.49085448,1739750778.0469873
SOLUSD,196.23000,186.00000,188.68000,119135.45286656,1739750778.046988
XXBTZUSD,97700.00000,96112.60000,96188.40000,328.48325988,1739750778.0469887
XDGUSD,0.274186600,0.263710800,0.266044500,33641250.07113899,1739750778.0469897
XXRPZUSD,2.80331000,2.69500000,2.73427000,16510553.26681644,1739750778.0469904
ADAUSD,0.788623,0.762115,0.774753,3926420.83058430,1739750838.304888
DOTUSD,5.04110,4.83180,4.89870,176797.20911964,1739750838.3048909
XETHZUSD,2725.85000,2652.76000,2665.21000,7280.96130102,1739750838.304892
LINKUSD,19.271390,18.563190,18.780100,115156.41650711,1739750838.3048935
XLTCZUSD,137.41000,125.17000,125.29000,66339.65833712,1739750838.3048944
MATICUSD,0.331400,0.314800,0.326800,685748.49085448,1739750838.3048964
SOLUSD,196.23000,186.00000,188.77000,119134.84810082,1739750838.3048975
XXBTZUSD,97700.00000,96112.60000,96259.00000,328.52759786,1739750838.3048987
XDGUSD,0.274186600,0.263710800,0.266216800,33647185.39513899,1739750838.3049002
XXRPZUSD,2.80331000,2.69500000,2.73769000,16535196.55687459,1739750838.3049016
ADAUSD,0.788623,0.762115,0.774509,3926468.27304769,1739750898.4988592
DOTUSD,5.04110,4.83180,4.89990,176798.35976754,1739750898.4988616
XETHZUSD,2725.85000,2652.76000,2666.77000,7280.46875153,1739750898.4988625
LINKUSD,19.271390,18.563190,18.780100,115156.41650711,1739750898.4988635
XLTCZUSD,137.41000,125.17000,125.35000,66297.93773979,1739750898.4988644
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739750898.4988656
SOLUSD,196.23000,186.00000,188.85000,119132.72605792,1739750898.4988668
XXBTZUSD,97700.00000,96112.60000,96250.70000,328.72933028,1739750898.4988682
XDGUSD,0.274186600,0.263710800,0.266232100,33647071.68273960,1739750898.4988701
XXRPZUSD,2.80331000,2.69500000,2.73444000,16523222.20866918,1739750898.4988713
ADAUSD,0.788623,0.762115,0.774379,3926496.66996669,1739750958.779504
DOTUSD,5.04110,4.83180,4.90300,177410.71386590,1739750958.7795064
XETHZUSD,2725.85000,2652.76000,2668.63000,7282.21063768,1739750958.7795074
LINKUSD,19.271390,18.563190,18.805490,115160.65632711,1739750958.779508
XLTCZUSD,137.41000,125.17000,125.37000,65688.52050335,1739750958.779509
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739750958.7795098
SOLUSD,196.23000,186.00000,188.99000,119131.58928853,1739750958.7795105
XXBTZUSD,97700.00000,96112.60000,96288.00000,328.70237029,1739750958.779511
XDGUSD,0.274186600,0.263710800,0.266232100,33646891.97273960,1739750958.7795117
XXRPZUSD,2.80331000,2.69500000,2.73592000,16523226.23404918,1739750958.779513
ADAUSD,0.788623,0.762115,0.774260,3928226.32283291,1739751019.0313845
DOTUSD,5.04110,4.83180,4.89980,177494.94812257,1739751019.0313935
XETHZUSD,2725.85000,2652.76000,2668.41000,7286.32786687,1739751019.0313942
LINKUSD,19.271390,18.563190,18.805490,115103.92961711,1739751019.0313954
XLTCZUSD,137.41000,125.17000,125.21000,65350.15004529,1739751019.0313962
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751019.0313976
SOLUSD,196.23000,186.00000,188.98000,119083.63820208,1739751019.0313988
XXBTZUSD,97700.00000,96112.60000,96250.10000,328.90428201,1739751019.0313995
XDGUSD,0.274186600,0.263710800,0.266232100,33646097.25273960,1739751019.0314004
XXRPZUSD,2.80331000,2.69500000,2.73375000,16519878.40297128,1739751019.0314016
ADAUSD,0.788623,0.762115,0.773815,3928386.09037291,1739751079.1756525
DOTUSD,5.04110,4.83180,4.89830,177493.94812257,1739751079.1756544
XETHZUSD,2725.85000,2652.76000,2667.68000,7288.02614598,1739751079.1756551
LINKUSD,19.271390,18.563190,18.805490,115103.92961711,1739751079.1756558
XLTCZUSD,137.41000,125.17000,125.26000,65370.09972631,1739751079.175657
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751079.1756582
SOLUSD,196.23000,186.00000,189.04000,119072.72542668,1739751079.1756587
XXBTZUSD,97700.00000,96112.60000,96231.60000,328.92099170,1739751079.1756594
XDGUSD,0.274186600,0.263710800,0.266038400,33647005.49875159,1739751079.1756606
XXRPZUSD,2.80331000,2.69500000,2.73341000,16519677.86551916,1739751079.1756616
ADAUSD,0.788623,0.762115,0.773815,3928386.09037291,1739751139.424632
DOTUSD,5.04110,4.83180,4.90310,177801.83412257,1739751139.424635
XETHZUSD,2725.85000,2652.76000,2668.72000,7285.68102895,1739751139.4246356
LINKUSD,19.271390,18.563190,18.805490,115103.92961711,1739751139.4246366
XLTCZUSD,137.41000,125.17000,125.56000,65350.31626616,1739751139.424638
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751139.424639
SOLUSD,196.23000,186.00000,189.05000,119146.38068620,1739751139.42464
XXBTZUSD,97700.00000,96112.60000,96252.00000,328.89827509,1739751139.4246414
XDGUSD,0.274186600,0.263710800,0.266038400,33646933.73875159,1739751139.4246426
XXRPZUSD,2.80331000,2.69500000,2.73617000,16515762.99363547,1739751139.4246435
ADAUSD,0.788623,0.762115,0.773510,3931440.70084909,1739751199.5819468
DOTUSD,5.04110,4.83180,4.89510,177832.61894383,1739751199.5819488
XETHZUSD,2725.85000,2652.76000,2667.33000,7284.96471816,1739751199.5819495
LINKUSD,19.271390,18.563190,18.784850,115086.16559711,1739751199.5819502
XLTCZUSD,137.41000,125.17000,125.23000,65322.61222508,1739751199.5819511
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751199.5819526
SOLUSD,196.23000,186.00000,188.87000,119218.44143766,1739751199.5819535
XXBTZUSD,97700.00000,96112.60000,96251.90000,328.86978369,1739751199.5819542
XDGUSD,0.274186600,0.263710800,0.266012400,33734412.47075159,1739751199.581955
XXRPZUSD,2.80331000,2.69500000,2.73254000,16516684.95506401,1739751199.581956
ADAUSD,0.788623,0.762115,0.773000,3931894.91912811,1739751259.8279316
DOTUSD,5.04110,4.83180,4.89160,179893.14531374,1739751259.8279345
XETHZUSD,2725.85000,2652.76000,2666.00000,7285.43543861,1739751259.8279355
LINKUSD,19.271390,18.563190,18.784850,115086.16559711,1739751259.8279362
XLTCZUSD,137.41000,125.17000,125.28000,65310.67100652,1739751259.8279371
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751259.8279428
SOLUSD,196.23000,186.00000,188.82000,119344.93849380,1739751259.8279436
XXBTZUSD,97700.00000,96112.60000,96250.10000,329.00940582,1739751259.8279448
XDGUSD,0.274186600,0.263710800,0.265630600,33734275.82713212,1739751259.8279455
XXRPZUSD,2.80331000,2.69500000,2.73169000,16517671.52976813,1739751259.8279462
ADAUSD,0.788623,0.762115,0.771568,3931609.33690785,1739751319.9576676
DOTUSD,5.04110,4.83180,4.88090,179894.14531374,1739751319.9576702
XETHZUSD,2725.85000,2652.76000,2664.21000,7291.49304766,1739751319.9576712
LINKUSD,19.271390,18.563190,18.717020,115086.36559711,1739751319.9576726
XLTCZUSD,137.41000,124.88000,124.93000,66392.19263807,1739751319.9576738
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751319.957675
SOLUSD,196.23000,186.00000,188.51000,119324.84994375,1739751319.957676
XXBTZUSD,97700.00000,96112.60000,96231.50000,329.20052370,1739751319.9576771
XDGUSD,0.274186600,0.263710800,0.265066500,33733527.52890174,1739751319.9576783
XXRPZUSD,2.80331000,2.69500000,2.72501000,16516092.42304075,1739751319.9576795
ADAUSD,0.788623,0.762115,0.771568,3931609.33690785,1739751380.1037183
DOTUSD,5.04110,4.83180,4.89050,179708.37118569,1739751380.103722
XETHZUSD,2725.85000,2652.76000,2665.32000,7290.59986455,1739751380.1037235
LINKUSD,19.271390,18.563190,18.702350,115084.50363282,1739751380.1037252
XLTCZUSD,137.41000,124.88000,125.23000,66530.55630239,1739751380.1037269
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751380.103729
SOLUSD,196.23000,186.00000,188.88000,119283.34389582,1739751380.1037307
XXBTZUSD,97700.00000,96112.60000,96252.00000,329.10390154,1739751380.1037333
XDGUSD,0.274186600,0.263710800,0.265066500,33731840.52839037,1739751380.1037362
XXRPZUSD,2.80331000,2.69500000,2.72700000,16520984.50506813,1739751380.1037378
ADAUSD,0.788623,0.762115,0.774479,3975114.36657357,1739751440.2468586
DOTUSD,5.04110,4.83180,4.89790,179685.16264633,1739751440.2468607
XETHZUSD,2725.85000,2652.76000,2666.71000,7294.76550760,1739751440.2468615
LINKUSD,19.271390,18.563190,18.739860,115063.69092664,1739751440.2468631
XLTCZUSD,137.41000,124.88000,125.34000,66555.77016075,1739751440.246873
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751440.2468746
SOLUSD,196.23000,186.00000,189.14000,119466.40640479,1739751440.2468758
XXBTZUSD,97700.00000,96112.60000,96258.80000,330.37678757,1739751440.246877
XDGUSD,0.274186600,0.263710800,0.265709700,33731381.37961867,1739751440.2468781
XXRPZUSD,2.80331000,2.69500000,2.72857000,16527149.82190706,1739751440.2468803
ADAUSD,0.788623,0.762115,0.774953,3976008.66527757,1739751500.3847883
DOTUSD,5.04110,4.83180,4.89790,179685.16264633,1739751500.3847904
XETHZUSD,2725.85000,2652.76000,2667.02000,7295.13168899,1739751500.3847916
LINKUSD,19.271390,18.563190,18.739860,115061.61304185,1739751500.3847926
XLTCZUSD,137.41000,124.88000,125.52000,66698.00551762,1739751500.3847933
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751500.3847947
SOLUSD,196.23000,186.00000,189.19000,119508.84521342,1739751500.3847957
XXBTZUSD,97700.00000,96112.60000,96308.30000,330.59096561,1739751500.3847964
XDGUSD,0.274186600,0.263710800,0.265753300,33724128.37804052,1739751500.3847978
XXRPZUSD,2.80331000,2.69500000,2.73076000,16527303.90418661,1739751500.3847985
ADAUSD,0.788623,0.762115,0.774969,3976873.53189160,1739751560.5813837
DOTUSD,5.04110,4.83180,4.89950,179532.14538524,1739751560.5813866
XETHZUSD,2725.85000,2652.76000,2666.78000,7295.02329645,1739751560.5813875
LINKUSD,19.271390,18.563190,18.739860,114713.84969877,1739751560.5813882
XLTCZUSD,137.41000,124.88000,125.66000,66678.11942602,1739751560.5813894
MATICUSD,0.331400,0.314800,0.327200,685751.45898448,1739751560.5813906
SOLUSD,196.23000,186.00000,188.88000,124399.96822380,1739751560.5813916
XXBTZUSD,97700.00000,96112.60000,96309.90000,330.60753125,1739751560.5813925
XDGUSD,0.274186600,0.263710800,0.265579800,33728166.41988289,1739751560.5813935
XXRPZUSD,2.80331000,2.69500000,2.73152000,16527577.92352380,1739751560.5813944
ADAUSD,0.788623,0.762115,0.775503,3977023.49817381,1739751620.7427382
DOTUSD,5.04110,4.83180,4.90180,179532.14538524,1739751620.7427425
XETHZUSD,2725.85000,2652.76000,2666.49000,7567.14183006,1739751620.7427447
LINKUSD,19.271390,18.563190,18.739860,114713.84969877,1739751620.742746
XLTCZUSD,137.41000,124.88000,125.55000,66844.60716578,1739751620.7427483
MATICUSD,0.331400,0.314800,0.327100,686348.25870448,1739751620.7427502
SOLUSD,196.23000,186.00000,189.02000,124460.98805312,1739751620.7427526
XXBTZUSD,97700.00000,96112.60000,96321.70000,330.67331438,1739751620.7427542
XDGUSD,0.274186600,0.263710800,0.265760300,33733820.05277910,1739751620.7427564
XXRPZUSD,2.80331000,2.69500000,2.72754000,17601818.69302016,1739751620.7427578
ADAUSD,0.788623,0.762115,0.777051,3977500.32488998,1739751680.9017482
DOTUSD,5.04110,4.83180,4.90640,179605.29340426,1739751680.9017508
XETHZUSD,2725.85000,2652.76000,2666.49000,7566.92316301,1739751680.9017518
LINKUSD,19.271390,18.563190,18.739860,114709.57468538,1739751680.9017532
XLTCZUSD,137.41000,124.88000,125.84000,66801.21564681,1739751680.9017544
MATICUSD,0.331400,0.314800,0.327100,686328.45434448,1739751680.9017553
SOLUSD,196.23000,186.00000,189.28000,124509.90123194,1739751680.9017565
XXBTZUSD,97700.00000,96112.60000,96341.90000,330.75555820,1739751680.9017577
XDGUSD,0.274186600,0.263710800,0.265961700,33723931.49378411,1739751680.9017591
XXRPZUSD,2.80331000,2.69500000,2.72429000,17605973.01723126,1739751680.9017608
ADAUSD,0.788623,0.762115,0.781137,4208378.38672749,1739751741.0863335
DOTUSD,5.04110,4.83180,4.91330,179692.83718032,1739751741.086336
XETHZUSD,2725.85000,2652.76000,2667.43000,7567.26677772,1739751741.0863369
LINKUSD,19.271390,18.563190,18.790500,114720.77795937,1739751741.0863376
XLTCZUSD,137.41000,124.88000,125.64000,66801.08845133,1739751741.0863383
MATICUSD,0.331400,0.314800,0.327100,686259.83624933,1739751741.0863395
SOLUSD,196.23000,186.00000,189.28000,125130.81640256,1739751741.0863407
XXBTZUSD,97700.00000,96112.60000,96385.90000,330.86529848,1739751741.0863414
XDGUSD,0.274186600,0.263710800,0.266154100,33725499.12881416,1739751741.086342
