Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.028399,0.979330,0.989506,11089455.94872284,1737560804.4562187
DOTUSD,6.84320,6.48730,6.51280,362770.43049378,1737560804.4562232
XETHZUSD,3364.82000,3270.00000,3278.09000,17251.90851238,1737560804.4562273
LINKUSD,27.200000,25.325600,25.376840,441191.43948885,1737560804.4562297
XLTCZUSD,122.61000,114.74000,115.73000,30824.85925963,1737560804.4562316
MATICUSD,0.464400,0.443700,0.445200,547660.92723961,1737560804.456234
SOLUSD,264.61000,238.54000,255.03000,412967.41869231,1737560804.456236
XXBTZUSD,107200.00000,103400.10000,104074.90000,2150.91049230,1737560804.4562395
XDGUSD,0.386761700,0.358342600,0.358948600,83699475.82237166,1737560804.4562411
XXRPZUSD,3.25924000,3.10900000,3.15543000,34326765.08280403,1737560804.4562423
ADAUSD,1.028399,0.979330,0.989863,11089486.77872284,1737560864.6797538
DOTUSD,6.84320,6.48730,6.51280,362770.43049378,1737560864.6797574
XETHZUSD,3364.82000,3270.00000,3277.14000,17256.18261750,1737560864.6797585
LINKUSD,27.200000,25.325600,25.366900,440926.99009179,1737560864.6797593
XLTCZUSD,122.61000,114.74000,115.56000,30827.87888444,1737560864.6797605
MATICUSD,0.464400,0.443700,0.444300,547682.62706961,1737560864.6797614
SOLUSD,264.61000,238.60000,254.90000,413563.12005591,1737560864.6797624
XXBTZUSD,107200.00000,103400.10000,104082.40000,2125.34805801,1737560864.6797636
XDGUSD,0.386761700,0.358342600,0.359253300,83216381.49376532,1737560864.679764
XXRPZUSD,3.25924000,3.10900000,3.15527000,34323788.19885015,1737560864.679765
ADAUSD,1.028399,0.979330,0.990600,11089305.96964338,1737560925.0188875
DOTUSD,6.84320,6.48730,6.51340,367020.86579221,1737560925.0188894
XETHZUSD,3364.82000,3270.00000,3278.97000,17251.80705273,1737560925.0188901
LINKUSD,27.200000,25.325600,25.402040,441142.49062988,1737560925.018891
XLTCZUSD,122.61000,114.74000,115.60000,30822.70247357,1737560925.018892
MATICUSD,0.464400,0.443700,0.444900,547733.82706961,1737560925.0188928
SOLUSD,264.61000,238.85000,255.72000,413894.10868069,1737560925.0188944
XXBTZUSD,107200.00000,103400.10000,104183.50000,2128.35129276,1737560925.0188954
XDGUSD,0.386761700,0.358342600,0.359440100,83181753.64252510,1737560925.0188966
XXRPZUSD,3.25924000,3.10900000,3.15781000,34332467.90737566,1737560925.018898
ADAUSD,1.028399,0.979330,0.991172,11043491.07160012,1737560985.332308
DOTUSD,6.84320,6.48730,6.51070,379064.25985281,1737560985.332312
XETHZUSD,3364.82000,3270.00000,3281.74000,17276.64324489,1737560985.332313
LINKUSD,27.200000,25.325600,25.435460,441195.31587623,1737560985.3323143
XLTCZUSD,122.61000,114.74000,115.78000,30848.81582960,1737560985.332316
MATICUSD,0.464400,0.443700,0.445500,547674.57197961,1737560985.3323174
SOLUSD,264.61000,238.85000,256.35000,413846.85289164,1737560985.3323193
XXBTZUSD,107200.00000,103400.10000,104286.90000,2128.55394788,1737560985.3323207
XDGUSD,0.386761700,0.358342600,0.359613700,83145067.72289543,1737560985.3323221
XXRPZUSD,3.25924000,3.10900000,3.16427000,34331975.43933261,1737560985.3323238
ADAUSD,1.028399,0.979330,0.988446,11067360.36265775,1737561045.5929308
DOTUSD,6.84320,6.48730,6.49750,388597.62809354,1737561045.5929334
XETHZUSD,3364.82000,3270.00000,3276.80000,17277.36573018,1737561045.5929341
LINKUSD,27.200000,25.325600,25.407370,441831.45542595,1737561045.592935
XLTCZUSD,122.61000,114.74000,115.64000,30894.94986410,1737561045.5929365
MATICUSD,0.464400,0.443700,0.445500,547674.57197961,1737561045.5929375
SOLUSD,264.61000,238.85000,256.12000,413867.71515226,1737561045.5929387
XXBTZUSD,107200.00000,103400.10000,104183.50000,2129.21136599,1737561045.5929394
XDGUSD,0.386761700,0.358342600,0.359640800,83135218.11502169,1737561045.59294
XXRPZUSD,3.25924000,3.10900000,3.16068000,34333795.32527374,1737561045.5929408
ADAUSD,1.028399,0.979330,0.988319,11067448.53988993,1737561105.8319836
DOTUSD,6.84320,6.48730,6.49810,388601.62809354,1737561105.832001
XETHZUSD,3364.82000,3270.00000,3277.90000,17273.10797189,1737561105.8320029
LINKUSD,27.200000,25.325600,25.424230,441442.44199739,1737561105.8320045
XLTCZUSD,122.61000,114.74000,115.76000,30860.93670891,1737561105.8320065
MATICUSD,0.464400,0.443700,0.444800,547759.90436149,1737561105.832009
SOLUSD,264.61000,238.85000,256.24000,413924.97382310,1737561105.8320117
XXBTZUSD,107200.00000,103400.10000,104240.40000,2130.25127969,1737561105.8320138
XDGUSD,0.386761700,0.358342600,0.360104000,83038811.31615533,1737561105.8320155
XXRPZUSD,3.25924000,3.10900000,3.16541000,34301979.75206458,1737561105.8320177
ADAUSD,1.028399,0.979330,0.991439,11068782.67850440,1737561166.0468013
DOTUSD,6.84320,6.48730,6.49810,388155.56009354,1737561166.0468087
XETHZUSD,3364.82000,3270.00000,3280.47000,17277.57862368,1737561166.0468102
LINKUSD,27.200000,25.325600,25.440230,441525.59912507,1737561166.046811
XLTCZUSD,122.61000,114.74000,115.82000,30859.49101869,1737561166.046813
MATICUSD,0.464400,0.443700,0.445800,547880.45453149,1737561166.0468142
SOLUSD,264.61000,238.85000,256.97000,414013.01745469,1737561166.046816
XXBTZUSD,107200.00000,103422.30000,104302.20000,2128.77389210,1737561166.0468175
XDGUSD,0.386761700,0.358342600,0.360348400,83023170.83052579,1737561166.0468187
XXRPZUSD,3.25924000,3.10900000,3.16790000,34300594.33080939,1737561166.0468202
ADAUSD,1.028399,0.979330,0.992126,11068289.76382320,1737561226.2660809
