Pair,High,Low,Last Price,Volume,Timestamp
XETHZUSD,3473.02000,3203.79000,3342.29000,22216.18871600,1737032850.5783901
XXBTZUSD,100731.70000,96796.10000,99016.20000,2442.50119212,1737032850.5783927
XETHZUSD,3473.02000,3203.79000,3342.28000,22216.21314894,1737032860.9071538
XXBTZUSD,100731.70000,96796.10000,99016.20000,2442.50119212,1737032860.907158
XETHZUSD,3473.02000,3203.79000,3340.46000,22216.52284064,1737032871.0974078
XXBTZUSD,100731.70000,96796.10000,99016.20000,2442.47033482,1737032871.0974112
XETHZUSD,3473.02000,3203.79000,3339.36000,22216.80104184,1737032881.3082209
XXBTZUSD,100731.70000,96796.10000,99016.20000,2442.46517486,1737032881.3082232
XETHZUSD,3473.02000,3203.79000,3339.36000,22216.80104184,1737032891.5963953
XXBTZUSD,100731.70000,96796.10000,99016.20000,2442.45835955,1737032891.596399
XETHZUSD,3473.02000,3203.79000,3339.36000,22216.80104184,1737032902.1877406
XXBTZUSD,100731.70000,96796.10000,99016.30000,2442.45568711,1737032902.1877434
XETHZUSD,3473.02000,3203.79000,3337.77000,22216.76428510,1737032912.3796985
XXBTZUSD,100731.70000,96796.10000,99015.00000,2442.45207479,1737032912.3797011
XETHZUSD,3473.02000,3203.79000,3338.59000,22216.93045872,1737032922.565031
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.46605029,1737032922.565034
XETHZUSD,3473.02000,3203.79000,3339.86000,22221.60209741,1737032932.8373306
XXBTZUSD,100731.70000,96796.10000,99002.00000,2442.36049467,1737032932.8373659
XETHZUSD,3473.02000,3203.79000,3338.06000,22361.64043199,1737032943.0562453
XXBTZUSD,100731.70000,96796.10000,99002.00000,2442.35273197,1737032943.0562491
XETHZUSD,3473.02000,3203.79000,3337.65000,22361.63931078,1737032953.344174
XXBTZUSD,100731.70000,96796.10000,99002.00000,2442.33918123,1737032953.3441787
XETHZUSD,3473.02000,3203.79000,3336.36000,22361.68557419,1737032963.5763042
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.34043405,1737032963.5763087
XETHZUSD,3473.02000,3203.79000,3335.86000,22367.08390106,1737032973.7651653
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.33628520,1737032973.765168
XETHZUSD,3473.02000,3203.79000,3335.98000,22425.72313571,1737032983.938724
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.33353072,1737032983.938728
XETHZUSD,3473.02000,3203.79000,3335.98000,22425.72313571,1737032994.1458075
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.58243904,1737032994.1458108
XETHZUSD,3473.02000,3203.79000,3335.91000,22425.72318208,1737033004.421187
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.58240855,1737033004.4211903
XETHZUSD,3473.02000,3203.79000,3335.91000,22425.72318208,1737033014.609316
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.57979064,1737033014.6093192
XETHZUSD,3473.02000,3203.79000,3336.07000,22426.09863282,1737033024.7930486
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.58175364,1737033024.793052
XETHZUSD,3473.02000,3203.79000,3337.83000,22427.22683606,1737033035.0807903
XXBTZUSD,100731.70000,96796.10000,99002.10000,2442.58175364,1737033035.080794
XETHZUSD,3473.02000,3203.79000,3338.74000,22429.02048467,1737033045.269447
XXBTZUSD,100731.70000,96796.10000,99002.00000,2442.61199059,1737033045.2694502
XETHZUSD,3473.02000,3203.79000,3337.21000,22429.21976908,1737033055.4786541
XXBTZUSD,100731.70000,96796.10000,99032.70000,2442.72904631,1737033055.4786572
XETHZUSD,3473.02000,3203.79000,3337.70000,22429.00777780,1737033065.6580367
XXBTZUSD,100731.70000,96796.10000,99051.20000,2442.88363100,1737033065.6580417
XETHZUSD,3473.02000,3203.79000,3337.42000,22429.60572711,1737033075.9136763
XXBTZUSD,100731.70000,96796.10000,99051.30000,2443.20968407,1737033075.9136887
