Pair,High,Low,Last Price,Volume,Timestamp
ADAUSD,1.166474,1.092145,1.138268,14946852.26884986,1737161875.1340194
DOTUSD,7.59330,7.22090,7.55920,621554.63236276,1737161875.1340234
XETHZUSD,3526.00000,3312.35000,3489.33000,22160.21677919,1737161875.1340246
LINKUSD,25.475960,23.411910,25.360350,288781.55441923,1737161875.1340258
XLTCZUSD,141.00000,125.13000,137.03000,85139.15013704,1737161875.1340272
MATICUSD,0.516800,0.477000,0.513200,1246604.55045196,1737161875.1340292
SOLUSD,221.95000,210.82000,220.21000,344430.90915168,1737161875.1340303
XXBTZUSD,105883.00000,100075.00000,104604.10000,3514.86796949,1737161875.1340332
XDGUSD,0.433899200,0.377193400,0.429814800,119075451.32922718,1737161875.1340342
XXRPZUSD,3.35369000,3.16943000,3.25673000,57565703.04849505,1737161875.134035
ADAUSD,1.166474,1.092145,1.138268,14920532.60845992,1737161935.368508
DOTUSD,7.59330,7.22090,7.55920,621304.63236276,1737161935.3685331
XETHZUSD,3526.00000,3312.35000,3486.88000,22159.14359590,1737161935.3685346
LINKUSD,25.475960,23.411910,25.364380,288869.36548511,1737161935.3685358
XLTCZUSD,141.00000,125.13000,137.03000,85137.31270892,1737161935.3685372
MATICUSD,0.516800,0.477000,0.513200,1245213.27776091,1737161935.3685393
SOLUSD,221.95000,210.82000,220.29000,344428.45849116,1737161935.368541
XXBTZUSD,105883.00000,100075.00000,104596.70000,3519.44874464,1737161935.3685424
XDGUSD,0.433899200,0.377193400,0.430320400,119148966.95022573,1737161935.3685446
XXRPZUSD,3.35369000,3.16943000,3.25701000,57560635.73536947,1737161935.368546
ADAUSD,1.166474,1.092145,1.137771,14914252.83415902,1737161995.7053745
DOTUSD,7.59330,7.22090,7.55920,621304.63236276,1737161995.7053847
XETHZUSD,3526.00000,3312.35000,3488.13000,22175.17314144,1737161995.7053857
LINKUSD,25.475960,23.411910,25.440210,288856.08792088,1737161995.7053874
XLTCZUSD,141.00000,125.13000,137.01000,85137.45848662,1737161995.7053883
MATICUSD,0.516800,0.477000,0.513200,1245151.40138736,1737161995.7053895
SOLUSD,221.95000,210.82000,220.17000,344431.91122650,1737161995.7053907
XXBTZUSD,105883.00000,100075.00000,104592.30000,3521.59907586,1737161995.7053921
